Release 8.1i - Fit P.28xd
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

11-30-2012  2:05PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  dipswitch.ngd
output file: dipswitch_pad.csv
Part type:   xc9572xl
Speed grade: -5
Package:     pc44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,dip<2>,I,I/O,INPUT,,,,,,,,,
P2,dip<0>,I,I/O,INPUT,,,,,,,,,
P3,dip<1>,I,I/O,INPUT,,,,,,,,,
P4,dip<3>,I,I/O,INPUT,,,,,,,,,
P5,TIE,,I/O/GCK1,,,,,,,,,,
P6,TIE,,I/O/GCK2,,,,,,,,,,
P7,TIE,,I/O/GCK3,,,,,,,,,,
P8,TIE,,I/O,,,,,,,,,,
P9,TIE,,I/O,,,,,,,,,,
P10,GND,,GND,,,,,,,,,,
P11,TIE,,I/O,,,,,,,,,,
P12,TIE,,I/O,,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,TDI,,TDI,,,,,,,,,,
P16,TMS,,TMS,,,,,,,,,,
P17,TCK,,TCK,,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,VCC,,VCCINT,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,GND,,GND,,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,TIE,,I/O,,,,,,,,,,
P30,TDO,,TDO,,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,VCC,,VCCIO,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,TIE,,I/O,,,,,,,,,,
P39,TIE,,I/O/GSR,,,,,,,,,,
P40,out_signal<0>,O,I/O/GTS2,OUTPUT,,,,,,,,,
P41,VCC,,VCCINT,,,,,,,,,,
P42,out_signal<1>,O,I/O/GTS1,OUTPUT,,,,,,,,,
P43,out_signal<2>,O,I/O,OUTPUT,,,,,,,,,
P44,out_signal<3>,O,I/O,OUTPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


